GreenMap    GoogleMap
0           1
1           2
2           3
3           4
4           7
5           5
6           8
7           6
8           9
9           11
10          12
11          19
12          10
13          17
14          15
15          14
16          22
17          16
18          23
19          13
20          21
21          20
22          34
23          27
24          26
25          28
26          37
27          24
28          18
29          38
30          25
31          31
32          36
33          30
34          33
35          35
36          29
37          32
