Lines |  Road No.                   | Freq Per Day
1     |  6 5 8 21 20                | 40
2     |  6 9 15 14 13 21 20         | 40
3     |  6 9 15 22 37 33 35 34      | 57
4     |  6                          | 42
5     |  11 17 23 24 31 36 16 38    | 42
6     |  6 3 2                      | 47
7     |  6 3 2                      | 55
8     |  6 3 2                      | 38
9     |  6 9 10 12                  | 43
10    |  6 5 4 1                    | 43
19    |  6 5 4                      | 30
